time,id,name,artists,link,playlist
2022-04-17T08:16:38,0U1W2LZVUX7qTm7dDpqxh6,When You're Gone,Shawn Mendes,https://open.spotify.com/track/0U1W2LZVUX7qTm7dDpqxh6,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:13:46,3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Glass Animals,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:09:46,0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,Lil Nas X,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:07:22,0QBzMgT7NIeoCYy3sJCof1,Bam Bam (feat. Ed Sheeran),Camila Cabello;Ed Sheeran,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:03:55,5dPz35akJjPqb17yeqNwqH,Ghost,Justin Bieber,https://open.spotify.com/track/5dPz35akJjPqb17yeqNwqH,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T08:01:21,4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T07:58:33,1rDQ4oMwGJI7B4tovsBOxc,First Class,Jack Harlow,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc,https://open.spotify.com/playlist/37i9dQZF1DXcBWIGoYBM5M
2022-04-17T14:08:11,1jIMjbzcGCcCQn5iMu9CUc,That's Hilarious,Charlie Puth,https://open.spotify.com/track/1jIMjbzcGCcCQn5iMu9CUc,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:35:49,0sBJA2OCEECMs0HsdIQhvR,West Coast,OneRepublic,https://open.spotify.com/track/0sBJA2OCEECMs0HsdIQhvR,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:32:35,1BSMpVGWs3v5BZKnAQziAc,Light Switch,Charlie Puth,https://open.spotify.com/track/1BSMpVGWs3v5BZKnAQziAc,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:29:29,6Jrdb6CFOJEGaHjaa6c4WR,IDGAF (with blackbear),BoyWithUke;blackbear,https://open.spotify.com/track/6Jrdb6CFOJEGaHjaa6c4WR,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:27:08,2gbRKKSyW7e7vAkyvrJkte,Pray,Jessie Murph,https://open.spotify.com/track/2gbRKKSyW7e7vAkyvrJkte,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:24:42,7z5G2LOdV8okZn4yWg3q5g,Night Away (Dance) (feat. Tion Wayne),A1 x J1;Tion Wayne,https://open.spotify.com/track/7z5G2LOdV8okZn4yWg3q5g,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:21:45,05eZlxyjbkHMPCnunUasCS,"How Long - From""Euphoria"" An HBO Original Series",Tove Lo,https://open.spotify.com/track/05eZlxyjbkHMPCnunUasCS,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:18:26,2iHsdUnmKGIuc9oRE3DfgJ,House On Fire,Mimi Webb,https://open.spotify.com/track/2iHsdUnmKGIuc9oRE3DfgJ,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:16:04,1Y8COP6Oqef3UxIONvzx6I,COMPLETE MESS,5 Seconds of Summer,https://open.spotify.com/track/1Y8COP6Oqef3UxIONvzx6I,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:12:37,2yBWKK84uebv35lGajIMhc,Where We Started,Thomas Rhett;Katy Perry,https://open.spotify.com/track/2yBWKK84uebv35lGajIMhc,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:09:35,0HqZX76SFLDz2aW8aiqi7G,Bones,Imagine Dragons,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:06:49,50eJOxJiGmJ7PBZaTKpje1,make up sex (feat. blackbear),Machine Gun Kelly;blackbear,https://open.spotify.com/track/50eJOxJiGmJ7PBZaTKpje1,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:04:46,34Mg7rSCT7nRsf1kVCAvgz,I Burned LA Down,Noah Cyrus,https://open.spotify.com/track/34Mg7rSCT7nRsf1kVCAvgz,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T16:01:30,7dDrR6vMK1JAwZZ5MIWgme,Birthday Cake,Dylan Conrique,https://open.spotify.com/track/7dDrR6vMK1JAwZZ5MIWgme,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:58:05,3sa06xVNmLLYIxdNNmVQN8,Where Did You Go? (feat. MNEK),Jax Jones;MNEK,https://open.spotify.com/track/3sa06xVNmLLYIxdNNmVQN8,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:55:06,1HvTxgCj0mTzQlEo0zLvFb,In My Head,Lil Tjay,https://open.spotify.com/track/1HvTxgCj0mTzQlEo0zLvFb,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:52:51,3I3O8aazwBKkXN6RNjY06L,In My Head (feat. Travis Barker),24kGoldn;Travis Barker,https://open.spotify.com/track/3I3O8aazwBKkXN6RNjY06L,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:50:40,40gooTta3y4FgzXaMOGDJL,I Can't Help But Feel,Surfaces,https://open.spotify.com/track/40gooTta3y4FgzXaMOGDJL,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:47:41,3QEX5O23KVp1yg1tj6Hycp,hate to be lame (feat. FINNEAS),Lizzy McAlpine;FINNEAS,https://open.spotify.com/track/3QEX5O23KVp1yg1tj6Hycp,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:45:03,7AX1eCw6qcX54PrDylynJr,Block me out,Gracie Abrams,https://open.spotify.com/track/7AX1eCw6qcX54PrDylynJr,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:40:53,0oA9wBGDY4uyILLg4GymWP,Tom's Diner,AnnenMayKantereit;Giant Rooks,https://open.spotify.com/track/0oA9wBGDY4uyILLg4GymWP,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:36:24,4f1KkbXHnfIVZ9vmIExByJ,That's Where I Am,Maggie Rogers,https://open.spotify.com/track/4f1KkbXHnfIVZ9vmIExByJ,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:32:11,2ZCu2xskiEBCV3y0eu0zJG,Treat Me,Chlöe,https://open.spotify.com/track/2ZCu2xskiEBCV3y0eu0zJG,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:29:40,7k0wVBW3cvV6Xmb87JikIf,Last Call,Khalid,https://open.spotify.com/track/7k0wVBW3cvV6Xmb87JikIf,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:26:28,2m6Ko3CY1qXNNja8AlugNc,Angel Baby,Troye Sivan,https://open.spotify.com/track/2m6Ko3CY1qXNNja8AlugNc,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:22:47,4qWQdhdHttXPKrQVqoLKMy,neverletyougo,ROLE MODEL,https://open.spotify.com/track/4qWQdhdHttXPKrQVqoLKMy,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:19:48,4WghJOMjDpGdlk3b8aJIgy,up at night (feat. justin bieber),Kehlani;Justin Bieber,https://open.spotify.com/track/4WghJOMjDpGdlk3b8aJIgy,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:16:45,40mxAPW0mpgZ4EGPWiFxt9,iPad,The Chainsmokers,https://open.spotify.com/track/40mxAPW0mpgZ4EGPWiFxt9,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:13:23,3RfTeIrWS8LNrfHYwechtt,Sunroof,Nicky Youre;dazy,https://open.spotify.com/track/3RfTeIrWS8LNrfHYwechtt,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:10:38,0IuVhCflrQPMGRrOyoY5RW,she's all i wanna be,Tate McRae,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:07:12,1WCEAGGRD066z2Q89ObXTq,Crazy What Love Can Do,David Guetta;Becky Hill;Ella Henderson,https://open.spotify.com/track/1WCEAGGRD066z2Q89ObXTq,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:04:21,4Gasn91fsCefnN8zM5GjA8,Finesse,Pheelz;BNXN fka Buju,https://open.spotify.com/track/4Gasn91fsCefnN8zM5GjA8,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T15:01:46,0QBzMgT7NIeoCYy3sJCof1,Bam Bam (feat. Ed Sheeran),Camila Cabello;Ed Sheeran,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T14:58:19,55OlGT0r7dPTNuBlZXOjeA,Take My Hand,5 Seconds of Summer,https://open.spotify.com/track/55OlGT0r7dPTNuBlZXOjeA,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T14:54:19,6Jkm5kUldvIqxzI1Pa7nXH,10 Things I Hate About You,Leah Kate,https://open.spotify.com/track/6Jkm5kUldvIqxzI1Pa7nXH,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T14:51:41,4nmD4awtUUCC4AGETpUiuP,Big Energy (feat. DJ Khaled) - Remix,Latto;Mariah Carey;DJ Khaled,https://open.spotify.com/track/4nmD4awtUUCC4AGETpUiuP,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T14:48:38,2bdqU7C4softKNcMYDFi96,chaotic,Tate McRae,https://open.spotify.com/track/2bdqU7C4softKNcMYDFi96,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T14:45:40,1620rCO9xoE7kug77sS4AJ,Speakers,Alec Benjamin,https://open.spotify.com/track/1620rCO9xoE7kug77sS4AJ,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T14:42:59,4w9qnwPPJRWPOw6DHhNtIc,Let Me Down Easy (Lie),Why Don't We,https://open.spotify.com/track/4w9qnwPPJRWPOw6DHhNtIc,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T14:40:28,4W1JavoraGzh83nluQHY6C,You Were Loved (with OneRepublic),Gryffin;OneRepublic,https://open.spotify.com/track/4W1JavoraGzh83nluQHY6C,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T14:36:45,3nEHrvNNtgLv9rneTAYVr4,Heaven Takes You Home (feat. Connie Constance),Swedish House Mafia;Connie Constance,https://open.spotify.com/track/3nEHrvNNtgLv9rneTAYVr4,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
2022-04-17T14:33:10,0U1W2LZVUX7qTm7dDpqxh6,When You're Gone,Shawn Mendes,https://open.spotify.com/track/0U1W2LZVUX7qTm7dDpqxh6,https://open.spotify.com/playlist/37i9dQZF1DWUa8ZRTfalHk
